class,분류,코드,음 식 명,중량(g),에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),당류(g),칼슘(mg),인(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),,
0,밥류01,01-011-001,쌀밥,210.00 ,334.80 ,73.71 ,5.76 ,0.45 ,59.40 ,0.00 ,3.60 ,126.00 ,146.70 ,-,0.36 ,1.35 ,0.00 ,0.00 ,,
1,밥류01,01-012-001,기타잡곡밥,200.00 ,302.36 ,65.52 ,6.71 ,0.75 ,3.39 ,0.00 ,12.06 ,117.84 ,166.72 ,6.90 ,1.74 ,1.83 ,0.00 ,0.00 ,,
2,밥류01,01-012-002,콩밥,200.00 ,322.90 ,65.85 ,8.43 ,1.67 ,4.10 ,0.00 ,24.70 ,126.90 ,258.40 ,22.50 ,1.74 ,1.61 ,0.00 ,0.00 ,,
3,밥류01,01-012-003,보리밥,200.00 ,316.10 ,70.57 ,5.55 ,0.14 ,4.50 ,0.00 ,6.70 ,68.80 ,100.60 ,0.00 ,1.26 ,1.41 ,0.00 ,0.00 ,,
4,밥류01,01-012-004,돌솥밥,350.00 ,528.86 ,101.85 ,10.19 ,8.35 ,618.32 ,0.00 ,61.46 ,193.72 ,624.32 ,57.79 ,3.32 ,2.58 ,2.37 ,0.00 ,,
5,밥류01,01-012-005,현미밥,230.00 ,351.35 ,77.88 ,6.66 ,1.10 ,42.08 ,0.00 ,6.01 ,178.28 ,209.33 ,0.00 ,1.05 ,1.65 ,0.00 ,0.00 ,,
6,밥류01,01-012-006,흑미밥,200.00 ,318.00 ,70.29 ,5.44 ,0.39 ,4.50 ,0.00 ,6.30 ,98.60 ,112.90 ,0.00 ,1.29 ,1.35 ,0.00 ,0.00 ,,
7,밥류01,01-013-001,감자밥,200.00 ,308.00 ,68.64 ,5.68 ,0.08 ,5.20 ,0.00 ,6.40 ,86.80 ,267.60 ,9.20 ,1.36 ,1.40 ,0.00 ,0.00 ,,
8,밥류01,01-013-002,곤드레밥,350.00 ,506.80 ,108.05 ,14.14 ,8.37 ,88.75 ,0.00 ,30.32 ,95.48 ,815.92 ,22.40 ,1.88 ,1.78 ,0.00 ,0.00 ,,
9,밥류01,01-014-001,김치볶음밥,500.00 ,656.98 ,79.29 ,8.74 ,5.06 ,1094.91 ,4.00 ,35.89 ,182.12 ,305.71 ,1.92 ,1.06 ,1.85 ,76.00 ,0.00 ,,
10,밥류01,01-014-002,주먹밥,150.00 ,209.56 ,36.18 ,6.70 ,3.46 ,329.69 ,0.00 ,85.43 ,151.23 ,179.33 ,0.00 ,0.70 ,0.80 ,50.13 ,0.00 ,,
11,밥류01,01-014-003,볶음밥,400.00 ,687.74 ,100.33 ,24.46 ,19.29 ,1441.42 ,0.00 ,58.42 ,414.66 ,578.88 ,14.98 ,3.29 ,3.45 ,309.00 ,0.00 ,,
12,밥류01,01-014-004,일반비빔밥,500.00 ,703.00 ,95.68 ,22.60 ,25.28 ,1234.09 ,3.44 ,96.80 ,289.33 ,742.51 ,55.80 ,4.75 ,4.16 ,40.20 ,0.00 ,,
13,밥류01,01-014-005,전주비빔밥,450.00 ,662.19 ,92.99 ,15.84 ,13.03 ,1281.30 ,3.44 ,65.04 ,236.12 ,450.11 ,10.84 ,3.24 ,2.86 ,286.94 ,0.00 ,,
14,밥류01,01-014-006,삼선볶음밥,400.00 ,683.62 ,113.43 ,19.26 ,16.84 ,1155.81 ,5.09 ,119.37 ,249.11 ,640.97 ,29.67 ,4.52 ,3.57 ,119.13 ,0.00 ,,
